DP;DPNOM;DPMP;MPIO;year;total
15;Boyacá;15808;Tinjacá;2015;3035 
15;Boyacá;15810;Tipacoque;2015;3206 
15;Boyacá;15814;Toca;2015;10157 
15;Boyacá;15816;Togüí;2015;4966 
15;Boyacá;15820;Tópaga;2015;3694 
15;Boyacá;15822;Tota;2015;5386 
15;Boyacá;15832;Tununguá;2015;1840 
15;Boyacá;15835;Turmequé;2015;6182 
15;Boyacá;15837;Tuta;2015;9673 
15;Boyacá;15839;Tutazá;2015;1890 
15;Boyacá;15842;Umbita;2015;10314 
15;Boyacá;15861;Ventaquemada;2015;15442 
15;Boyacá;15879;Viracachá;2015;3222 
15;Boyacá;15897;Zetaquira;2015;4557 
17;Caldas;17001;Manizales;2015;396075 
17;Caldas;17013;Aguadas;2015;22081 
17;Caldas;17042;Anserma;2015;33792 
17;Caldas;17050;Aranzazu;2015;11422 
17;Caldas;17088;Belalcázar;2015;10863 
17;Caldas;17174;Chinchiná;2015;51492 
17;Caldas;17272;Filadelfia;2015;11034 
17;Caldas;17380;La Dorada;2015;76963 
17;Caldas;17388;La Merced;2015;5508 
17;Caldas;17433;Manzanares;2015;23274 
17;Caldas;17442;Marmato;2015;9096 
17;Caldas;17444;Marquetalia;2015;14992 
17;Caldas;17446;Marulanda;2015;3406 
17;Caldas;17486;Neira;2015;30513 
17;Caldas;17495;Norcasia;2015;6374 
17;Caldas;17513;Pácora;2015;11952 
17;Caldas;17524;Palestina;2015;17760 
17;Caldas;17541;Pensilvania;2015;26361 
17;Caldas;17614;Riosucio;2015;61535 
17;Caldas;17616;Risaralda;2015;9583 
17;Caldas;17653;Salamina;2015;16635 
17;Caldas;17662;Samaná;2015;25777 
17;Caldas;17665;San José;2015;7588 
17;Caldas;17777;Supía;2015;26728 
17;Caldas;17867;Victoria;2015;8415 
17;Caldas;17873;Villamaría;2015;56303 
17;Caldas;17877;Viterbo;2015;12469 
18;Caquetá;18001;Florencia;2015;172364 
18;Caquetá;18029;Albania;2015;6430 
18;Caquetá;18094;Belén de Los Andaquies;2015;11541 
18;Caquetá;18150;Cartagena del Chairá;2015;33391 
18;Caquetá;18205;Curillo;2015;11683 
18;Caquetá;18247;El Doncello;2015;22137 
18;Caquetá;18256;El Paujil;2015;20224 
18;Caquetá;18410;La Montañita;2015;23620 
18;Caquetá;18460;Milán;2015;11745 
18;Caquetá;18479;Morelia;2015;3813 
18;Caquetá;18592;Puerto Rico;2015;33347 
18;Caquetá;18610;San José del Fragua;2015;14921 
18;Caquetá;18753;San Vicente del Caguán;2015;67994 
18;Caquetá;18756;Solano;2015;23663 
18;Caquetá;18785;Solita;2015;9140 
18;Caquetá;18860;Valparaíso;2015;11629 
19;Cauca;19001;Popayán;2015;277540 
19;Cauca;19022;Almaguer;2015;21243 
19;Cauca;19050;Argelia;2015;26715 
19;Cauca;19075;Balboa;2015;25589 
19;Cauca;19100;Bolívar;2015;44611 
19;Cauca;19110;Buenos Aires;2015;32225 
19;Cauca;19130;Cajibío;2015;37522 
19;Cauca;19137;Caldono;2015;33122 
