year; id_dpto ;nom_dpto;id_munic;nom_munic;Categoria;p_total;p_cabecera;p_resto
2005;17;Caldas;17662;Samaná;;25,649;4,978;20,671
2005;17;Caldas;17665;San José;;7,572;1,531;6,041
2005;17;Caldas;17777;Supía;;24,847;11,935;12,912
2005;17;Caldas;17867;Victoria;;9,165;3,728;5,437
2005;17;Caldas;17873;Villamaría;;46,322;36,667;9,655
2005;17;Caldas;17877;Viterbo;;13,159;10,689;2,470
2005;18;Caquetá;18001;Florencia;;143,871;121,898;21,973
2005;18;Caquetá;18029;Albania;;6,394;2,237;4,157
2005;18;Caquetá;18094;Belén de Los Andaquies;;11,081;5,556;5,525
2005;18;Caquetá;18150;Cartagena del Chairá;;28,678;9,426;19,252
2005;18;Caquetá;18205;Curillo;;11,121;6,270;4,851
2005;18;Caquetá;18247;El Doncello;;21,547;13,379;8,168
2005;18;Caquetá;18256;El Paujil;;17,634;8,699;8,935
2005;18;Caquetá;18410;La Montañita;;22,181;4,245;17,936
2005;18;Caquetá;18460;Milán;;11,487;1,603;9,884
2005;18;Caquetá;18479;Morelia;;3,718;1,658;2,060
2005;18;Caquetá;18592;Puerto Rico;;32,408;12,617;19,791
2005;18;Caquetá;18610;San José del Fragua;;13,882;4,540;9,342
2005;18;Caquetá;18753;San Vicente del Caguán;;56,674;31,011;25,663
2005;18;Caquetá;18756;Solano;;19,427;1,858;17,569
2005;18;Caquetá;18785;Solita;;9,134;3,047;6,087
2005;18;Caquetá;18860;Valparaíso;;11,100;3,158;7,942
2005;19;Cauca;19001;Popayán;;257,512;226,978;30,534
2005;19;Cauca;19022;Almaguer;;20,463;1,651;18,812
2005;19;Cauca;19050;Argelia;;24,538;3,155;21,383
2005;19;Cauca;19075;Balboa;;23,602;6,115;17,487
2005;19;Cauca;19100;Bolívar;;43,978;5,296;38,682
2005;19;Cauca;19110;Buenos Aires;;26,961;1,932;25,029
2005;19;Cauca;19130;Cajibío;;34,706;1,586;33,120
2005;19;Cauca;19137;Caldono;;30,906;1,358;29,548
2005;19;Cauca;19142;Caloto;;36,921;4,148;32,773
2005;19;Cauca;19212;Corinto;;28,310;12,153;16,157
2005;19;Cauca;19256;El Tambo;;45,804;5,710;40,094
2005;19;Cauca;19290;Florencia;;6,028;1,313;4,715
2005;19;Cauca;19318;Guapi;;28,663;16,273;12,390
2005;19;Cauca;19355;Inzá;;26,989;2,140;24,849
2005;19;Cauca;19364;Jambaló;;14,625;1,044;13,581
2005;19;Cauca;19392;La Sierra;;10,937;1,425;9,512
2005;19;Cauca;19397;La Vega;;38,435;2,555;35,880
2005;19;Cauca;19418;López;;19,326;4,317;15,009
2005;19;Cauca;19450;Mercaderes;;17,702;4,534;13,168
2005;19;Cauca;19455;Miranda;;33,245;22,021;11,224
2005;19;Cauca;19473;Morales;;24,391;1,605;22,786
2005;19;Cauca;19513;Padilla;;8,336;3,919;4,417
2005;19;Cauca;19517;Paez;;31,800;2,726;29,074
2005;19;Cauca;19532;Patía;;33,195;11,679;21,516
2005;19;Cauca;19533;Piamonte;;7,083;543;6,540
2005;19;Cauca;19548;Piendamó;;35,804;12,694;23,110
2005;19;Cauca;19573;Puerto Tejada;;44,324;39,009;5,315
2005;19;Cauca;19585;Puracé;;14,970;1,810;13,160
2005;19;Cauca;19622;Rosas;;12,666;1,445;11,221
2005;19;Cauca;19693;San Sebastián;;12,820;1,015;11,805
2005;19;Cauca;19698;Santander de Quilichao;;80,282;40,251;40,031
2005;19;Cauca;19701;Santa Rosa;;9,579;1,626;7,953
2005;19;Cauca;19743;Silvia;;30,960;4,110;26,850
2005;19;Cauca;19760;Sotara;;15,696;391;15,305
2005;19;Cauca;19780;Suárez;;19,244;4,648;14,596
2005;19;Cauca;19785;Sucre;;8,955;1,420;7,535
2005;19;Cauca;19807;Timbío;;30,028;10,918;19,110
2005;19;Cauca;19809;Timbiquí;;20,885;3,505;17,380
2005;19;Cauca;19821;Toribio;;26,512;1,701;24,811
2005;19;Cauca;19824;Totoró;;17,430;1,352;16,078
2005;19;Cauca;19845;Villa Rica;;14,326;10,350;3,976
2005;20;Cesar;20001;Valledupar;;354,449;299,065;55,384
2005;20;Cesar;20011;Aguachica;;82,335;69,039;13,296
2005;20;Cesar;20013;Agustín Codazzi;;53,969;38,565;15,404
2005;20;Cesar;20032;Astrea;;18,394;8,864;9,530
2005;20;Cesar;20045;Becerril;;13,941;9,720;4,221
2005;20;Cesar;20060;Bosconia;;30,885;27,895;2,990
2005;20;Cesar;20175;Chimichagua;;30,993;11,375;19,618
2005;20;Cesar;20178;Chiriguaná;;22,146;13,462;8,684
2005;20;Cesar;20228;Curumaní;;27,560;18,249;9,311
2005;20;Cesar;20238;El Copey;;24,971;18,512;6,459
2005;20;Cesar;20250;El Paso;;20,808;3,816;16,992
2005;20;Cesar;20295;Gamarra;;14,472;7,988;6,484
2005;20;Cesar;20310;González;;9,252;1,593;7,659
2005;20;Cesar;20383;La Gloria;;14,586;5,779;8,807
2005;20;Cesar;20400;La Jagua de Ibirico;;22,082;16,850;5,232
2005;20;Cesar;20443;Manaure;;11,317;7,229;4,088
2005;20;Cesar;20517;Pailitas;;15,902;11,669;4,233
2005;20;Cesar;20550;Pelaya;;16,561;10,695;5,866
2005;20;Cesar;20570;Pueblo Bello;;17,228;4,156;13,072
2005;20;Cesar;20614;Río de Oro;;14,406;5,728;8,678
2005;20;Cesar;20621;La Paz;;21,874;13,101;8,773
